Vardas          Pavarde                           ND1       ND2       ND3       Egz.      
Vardas4141      Pavarde4141                       5         5         10        1         
Vardas4142      Pavarde4142                       5         5         5         2         
Vardas4143      Pavarde4143                       10        5         9         3         
Vardas4144      Pavarde4144                       8         7         9         3         
Vardas4145      Pavarde4145                       8         4         9         8         
Vardas4146      Pavarde4146                       7         5         8         3         
Vardas4147      Pavarde4147                       10        1         5         1         
Vardas4148      Pavarde4148                       1         8         7         1         
Vardas4149      Pavarde4149                       4         2         8         6         
Vardas4150      Pavarde4150                       4         7         10        6         
Vardas4151      Pavarde4151                       10        2         7         3         
Vardas4152      Pavarde4152                       10        6         2         9         
Vardas4153      Pavarde4153                       6         4         7         7         
Vardas4154      Pavarde4154                       3         4         5         6         
Vardas4155      Pavarde4155                       9         3         8         6         
Vardas4156      Pavarde4156                       9         6         2         9         
Vardas4157      Pavarde4157                       1         4         8         9         
Vardas4158      Pavarde4158                       1         4         1         4         
Vardas4159      Pavarde4159                       9         5         1         1         
Vardas4160      Pavarde4160                       2         1         6         3         
Vardas4161      Pavarde4161                       3         5         3         6         
Vardas4162      Pavarde4162                       3         5         4         1         
Vardas4163      Pavarde4163                       9         3         4         7         
Vardas4164      Pavarde4164                       8         8         8         4         
Vardas4165      Pavarde4165                       2         2         10        6         
Vardas4166      Pavarde4166                       4         9         8         8         
Vardas4167      Pavarde4167                       8         4         2         2         
Vardas4168      Pavarde4168                       5         6         3         9         
Vardas4169      Pavarde4169                       7         8         3         10        
Vardas4170      Pavarde4170                       1         8         5         3         
Vardas4171      Pavarde4171                       3         9         3         10        
Vardas4172      Pavarde4172                       9         2         5         2         
Vardas4173      Pavarde4173                       7         8         10        6         
Vardas4174      Pavarde4174                       1         4         2         3         
Vardas4175      Pavarde4175                       9         4         5         9         
Vardas4176      Pavarde4176                       2         7         5         10        
Vardas4177      Pavarde4177                       7         7         5         4         
Vardas4178      Pavarde4178                       6         4         7         3         
Vardas4179      Pavarde4179                       6         10        4         10        
Vardas4180      Pavarde4180                       3         8         1         8         
Vardas4181      Pavarde4181                       1         7         8         1         
Vardas4182      Pavarde4182                       4         4         2         1         
Vardas4183      Pavarde4183                       1         4         1         3         
Vardas4184      Pavarde4184                       1         2         6         9         
Vardas4185      Pavarde4185                       7         4         2         3         
Vardas4186      Pavarde4186                       6         3         5         5         
Vardas4187      Pavarde4187                       9         8         1         1         
Vardas4188      Pavarde4188                       5         6         1         9         
Vardas4189      Pavarde4189                       7         5         2         9         
Vardas4190      Pavarde4190                       3         3         7         9         
Vardas4191      Pavarde4191                       5         6         6         5         
Vardas4192      Pavarde4192                       8         7         8         9         
Vardas4193      Pavarde4193                       5         9         2         10        
Vardas4194      Pavarde4194                       4         5         1         3         
Vardas4195      Pavarde4195                       10        5         4         8         
Vardas4196      Pavarde4196                       3         7         10        2         
Vardas4197      Pavarde4197                       6         6         2         1         
Vardas4198      Pavarde4198                       10        1         4         10        
Vardas4199      Pavarde4199                       3         2         3         6         
Vardas4200      Pavarde4200                       3         7         9         2         
Vardas4201      Pavarde4201                       4         6         1         7         
Vardas4202      Pavarde4202                       7         10        7         2         
Vardas4203      Pavarde4203                       5         7         2         10        
Vardas4204      Pavarde4204                       2         5         10        4         
Vardas4205      Pavarde4205                       7         1         8         4         
Vardas4206      Pavarde4206                       9         6         10        1         
Vardas4207      Pavarde4207                       2         9         8         5         
Vardas4208      Pavarde4208                       1         8         7         3         
Vardas4209      Pavarde4209                       10        8         8         5         
Vardas4210      Pavarde4210                       3         10        7         8         
Vardas4211      Pavarde4211                       3         7         3         9         
Vardas4212      Pavarde4212                       3         5         7         5         
Vardas4213      Pavarde4213                       6         10        7         9         
Vardas4214      Pavarde4214                       8         8         4         3         
Vardas4215      Pavarde4215                       9         2         3         8         
Vardas4216      Pavarde4216                       10        10        2         5         
Vardas4217      Pavarde4217                       6         2         8         4         
Vardas4218      Pavarde4218                       1         8         2         10        
Vardas4219      Pavarde4219                       1         5         3         7         
Vardas4220      Pavarde4220                       2         8         4         4         
Vardas4221      Pavarde4221                       7         2         10        1         
Vardas4222      Pavarde4222                       7         10        3         9         
Vardas4223      Pavarde4223                       6         1         6         6         
Vardas4224      Pavarde4224                       2         1         6         5         
Vardas4225      Pavarde4225                       5         4         10        6         
Vardas4226      Pavarde4226                       8         1         9         2         
Vardas4227      Pavarde4227                       4         10        2         9         
Vardas4228      Pavarde4228                       2         4         9         9         
Vardas4229      Pavarde4229                       5         3         1         2         
Vardas4230      Pavarde4230                       8         3         6         8         
Vardas4231      Pavarde4231                       7         5         8         1         
Vardas4232      Pavarde4232                       10        5         6         10        
Vardas4233      Pavarde4233                       1         5         1         6         
Vardas4234      Pavarde4234                       8         7         1         4         
Vardas4235      Pavarde4235                       8         1         5         8         
Vardas4236      Pavarde4236                       3         1         4         5         
Vardas4237      Pavarde4237                       7         8         4         8         
Vardas4238      Pavarde4238                       9         7         3         6         
Vardas4239      Pavarde4239                       9         6         2         4         
Vardas4240      Pavarde4240                       1         4         5         6         
Vardas4241      Pavarde4241                       5         5         10        5         
Vardas4242      Pavarde4242                       3         1         9         5         
Vardas4243      Pavarde4243                       7         2         1         10        
Vardas4244      Pavarde4244                       2         5         5         10        
Vardas4245      Pavarde4245                       1         1         6         4         
Vardas4246      Pavarde4246                       3         7         4         4         
Vardas4247      Pavarde4247                       3         6         7         3         
Vardas4248      Pavarde4248                       1         2         1         10        
Vardas4249      Pavarde4249                       8         4         6         7         
Vardas4250      Pavarde4250                       6         5         10        6         
Vardas4251      Pavarde4251                       1         5         2         1         
Vardas4252      Pavarde4252                       3         4         1         5         
Vardas4253      Pavarde4253                       6         2         3         6         
Vardas4254      Pavarde4254                       9         1         9         7         
Vardas4255      Pavarde4255                       10        1         4         5         
Vardas4256      Pavarde4256                       6         8         8         4         
Vardas4257      Pavarde4257                       7         8         8         10        
Vardas4258      Pavarde4258                       10        1         1         3         
Vardas4259      Pavarde4259                       2         6         2         4         
Vardas4260      Pavarde4260                       5         9         3         9         
Vardas4261      Pavarde4261                       1         9         3         3         
Vardas4262      Pavarde4262                       6         7         7         8         
Vardas4263      Pavarde4263                       7         5         6         3         
Vardas4264      Pavarde4264                       9         7         3         1         
Vardas4265      Pavarde4265                       4         1         3         7         
Vardas4266      Pavarde4266                       2         5         5         10        
Vardas4267      Pavarde4267                       8         3         7         9         
Vardas4268      Pavarde4268                       3         6         3         2         
Vardas4269      Pavarde4269                       10        6         2         2         
Vardas4270      Pavarde4270                       4         1         7         6         
Vardas4271      Pavarde4271                       10        8         3         7         
Vardas4272      Pavarde4272                       10        9         4         5         
Vardas4273      Pavarde4273                       5         1         3         4         
Vardas4274      Pavarde4274                       9         5         7         8         
Vardas4275      Pavarde4275                       3         4         8         5         
Vardas4276      Pavarde4276                       1         3         5         7         
Vardas4277      Pavarde4277                       2         2         5         6         
Vardas4278      Pavarde4278                       9         1         1         4         
Vardas4279      Pavarde4279                       1         8         1         8         
Vardas4280      Pavarde4280                       5         5         7         7         
Vardas4281      Pavarde4281                       9         6         6         10        
Vardas4282      Pavarde4282                       7         3         5         1         
Vardas4283      Pavarde4283                       1         9         2         9         
Vardas4284      Pavarde4284                       4         2         5         2         
Vardas4285      Pavarde4285                       4         2         3         2         
Vardas4286      Pavarde4286                       6         6         1         1         
Vardas4287      Pavarde4287                       7         8         8         6         
Vardas4288      Pavarde4288                       2         1         10        10        
Vardas4289      Pavarde4289                       5         7         6         1         
Vardas4290      Pavarde4290                       6         6         1         10        
Vardas4291      Pavarde4291                       6         7         5         8         
Vardas4292      Pavarde4292                       5         1         2         10        
Vardas4293      Pavarde4293                       10        2         2         6         
Vardas4294      Pavarde4294                       10        10        9         4         
Vardas4295      Pavarde4295                       1         6         9         10        
Vardas4296      Pavarde4296                       2         5         10        9         
Vardas4297      Pavarde4297                       7         2         8         7         
Vardas4298      Pavarde4298                       7         4         6         2         
Vardas4299      Pavarde4299                       7         6         1         5         
Vardas4300      Pavarde4300                       9         2         6         9         
Vardas4301      Pavarde4301                       4         1         10        9         
Vardas4302      Pavarde4302                       1         2         2         2         
Vardas4303      Pavarde4303                       3         7         10        10        
Vardas4304      Pavarde4304                       2         7         4         5         
Vardas4305      Pavarde4305                       4         6         7         8         
Vardas4306      Pavarde4306                       1         4         6         6         
Vardas4307      Pavarde4307                       5         8         8         10        
Vardas4308      Pavarde4308                       6         1         1         10        
Vardas4309      Pavarde4309                       3         7         7         2         
Vardas4310      Pavarde4310                       8         9         6         3         
Vardas4311      Pavarde4311                       6         2         9         7         
Vardas4312      Pavarde4312                       4         3         2         6         
Vardas4313      Pavarde4313                       3         6         1         2         
Vardas4314      Pavarde4314                       10        3         5         5         
Vardas4315      Pavarde4315                       7         7         9         2         
Vardas4316      Pavarde4316                       2         2         8         6         
Vardas4317      Pavarde4317                       1         8         10        8         
Vardas4318      Pavarde4318                       6         5         3         10        
Vardas4319      Pavarde4319                       5         1         3         2         
Vardas4320      Pavarde4320                       10        2         2         9         
Vardas4321      Pavarde4321                       4         5         4         8         
Vardas4322      Pavarde4322                       7         3         4         9         
Vardas4323      Pavarde4323                       1         5         4         9         
Vardas4324      Pavarde4324                       6         3         6         6         
Vardas4325      Pavarde4325                       8         8         6         7         
Vardas4326      Pavarde4326                       10        2         4         10        
Vardas4327      Pavarde4327                       10        6         7         9         
Vardas4328      Pavarde4328                       4         4         4         9         
Vardas4329      Pavarde4329                       8         2         6         3         
Vardas4330      Pavarde4330                       7         2         7         7         
Vardas4331      Pavarde4331                       5         10        7         9         
Vardas4332      Pavarde4332                       9         5         1         3         
Vardas4333      Pavarde4333                       2         1         1         7         
Vardas4334      Pavarde4334                       2         10        2         4         
Vardas4335      Pavarde4335                       8         6         3         2         
Vardas4336      Pavarde4336                       7         2         3         1         
Vardas4337      Pavarde4337                       6         7         10        6         
Vardas4338      Pavarde4338                       10        4         6         7         
Vardas4339      Pavarde4339                       6         2         7         5         
Vardas4340      Pavarde4340                       3         2         5         5         
Vardas4341      Pavarde4341                       10        2         9         10        
Vardas4342      Pavarde4342                       10        1         3         9         
Vardas4343      Pavarde4343                       6         4         7         2         
Vardas4344      Pavarde4344                       1         7         4         9         
Vardas4345      Pavarde4345                       4         9         10        9         
Vardas4346      Pavarde4346                       5         1         6         8         
Vardas4347      Pavarde4347                       3         3         9         6         
Vardas4348      Pavarde4348                       1         1         7         3         
Vardas4349      Pavarde4349                       8         7         2         8         
Vardas4350      Pavarde4350                       5         8         7         4         
Vardas4351      Pavarde4351                       8         4         4         5         
Vardas4352      Pavarde4352                       4         7         3         7         
Vardas4353      Pavarde4353                       1         1         4         7         
Vardas4354      Pavarde4354                       7         2         8         6         
Vardas4355      Pavarde4355                       8         10        5         1         
Vardas4356      Pavarde4356                       6         3         9         9         
Vardas4357      Pavarde4357                       7         3         10        2         
Vardas4358      Pavarde4358                       10        8         8         4         
Vardas4359      Pavarde4359                       3         9         2         10        
Vardas4360      Pavarde4360                       3         8         2         7         
Vardas4361      Pavarde4361                       6         9         9         5         
Vardas4362      Pavarde4362                       2         1         10        6         
Vardas4363      Pavarde4363                       10        5         9         1         
Vardas4364      Pavarde4364                       6         5         7         8         
Vardas4365      Pavarde4365                       6         1         4         5         
Vardas4366      Pavarde4366                       10        7         2         3         
Vardas4367      Pavarde4367                       6         5         1         8         
Vardas4368      Pavarde4368                       10        6         9         7         
Vardas4369      Pavarde4369                       7         6         8         6         
Vardas4370      Pavarde4370                       1         5         2         5         
Vardas4371      Pavarde4371                       4         10        1         2         
Vardas4372      Pavarde4372                       10        10        5         8         
Vardas4373      Pavarde4373                       7         3         5         5         
Vardas4374      Pavarde4374                       3         2         3         6         
Vardas4375      Pavarde4375                       9         2         3         8         
Vardas4376      Pavarde4376                       8         3         9         2         
Vardas4377      Pavarde4377                       6         10        1         9         
Vardas4378      Pavarde4378                       6         8         4         3         
Vardas4379      Pavarde4379                       2         9         9         8         
Vardas4380      Pavarde4380                       3         10        2         8         
Vardas4381      Pavarde4381                       9         2         3         1         
Vardas4382      Pavarde4382                       2         9         5         8         
Vardas4383      Pavarde4383                       10        8         9         7         
Vardas4384      Pavarde4384                       6         2         10        10        
Vardas4385      Pavarde4385                       8         1         8         6         
Vardas4386      Pavarde4386                       2         1         3         5         
Vardas4387      Pavarde4387                       9         4         3         10        
Vardas4388      Pavarde4388                       1         2         1         9         
Vardas4389      Pavarde4389                       3         1         2         9         
Vardas4390      Pavarde4390                       9         2         4         8         
Vardas4391      Pavarde4391                       2         3         10        6         
Vardas4392      Pavarde4392                       2         1         4         6         
Vardas4393      Pavarde4393                       8         9         6         8         
Vardas4394      Pavarde4394                       8         4         1         3         
Vardas4395      Pavarde4395                       2         7         3         6         
Vardas4396      Pavarde4396                       1         9         2         9         
Vardas4397      Pavarde4397                       5         9         1         1         
Vardas4398      Pavarde4398                       2         9         4         1         
Vardas4399      Pavarde4399                       4         3         10        10        
Vardas4400      Pavarde4400                       1         7         2         10        
Vardas4401      Pavarde4401                       1         2         7         3         
Vardas4402      Pavarde4402                       4         8         8         6         
Vardas4403      Pavarde4403                       9         2         5         5         
Vardas4404      Pavarde4404                       8         1         7         2         
Vardas4405      Pavarde4405                       6         9         4         7         
Vardas4406      Pavarde4406                       1         4         3         2         
Vardas4407      Pavarde4407                       7         10        9         2         
Vardas4408      Pavarde4408                       6         6         8         10        
Vardas4409      Pavarde4409                       6         9         1         8         
Vardas4410      Pavarde4410                       3         3         7         6         
Vardas4411      Pavarde4411                       5         2         3         6         
Vardas4412      Pavarde4412                       10        5         10        9         
Vardas4413      Pavarde4413                       3         3         5         5         
Vardas4414      Pavarde4414                       9         4         4         8         
Vardas4415      Pavarde4415                       5         3         3         2         
Vardas4416      Pavarde4416                       8         5         1         10        
Vardas4417      Pavarde4417                       9         2         4         3         
Vardas4418      Pavarde4418                       1         10        8         2         
Vardas4419      Pavarde4419                       1         7         7         4         
Vardas4420      Pavarde4420                       1         5         10        10        
Vardas4421      Pavarde4421                       10        4         1         8         
Vardas4422      Pavarde4422                       2         1         4         1         
Vardas4423      Pavarde4423                       2         4         9         9         
Vardas4424      Pavarde4424                       5         4         6         4         
Vardas4425      Pavarde4425                       10        8         1         1         
Vardas4426      Pavarde4426                       3         7         10        3         
Vardas4427      Pavarde4427                       1         2         4         6         
Vardas4428      Pavarde4428                       8         1         5         2         
Vardas4429      Pavarde4429                       10        8         4         2         
Vardas4430      Pavarde4430                       6         6         1         4         
Vardas4431      Pavarde4431                       4         4         7         9         
Vardas4432      Pavarde4432                       3         5         8         5         
Vardas4433      Pavarde4433                       2         4         1         7         
Vardas4434      Pavarde4434                       2         7         7         2         
Vardas4435      Pavarde4435                       2         9         7         6         
Vardas4436      Pavarde4436                       4         7         3         6         
Vardas4437      Pavarde4437                       5         5         7         4         
Vardas4438      Pavarde4438                       4         8         1         7         
Vardas4439      Pavarde4439                       7         6         5         4         
Vardas4440      Pavarde4440                       9         7         5         8         
Vardas4441      Pavarde4441                       6         10        6         6         
Vardas4442      Pavarde4442                       10        2         3         10        
Vardas4443      Pavarde4443                       6         7         8         1         
Vardas4444      Pavarde4444                       6         10        9         7         
Vardas4445      Pavarde4445                       10        7         4         9         
Vardas4446      Pavarde4446                       9         5         3         3         
Vardas4447      Pavarde4447                       9         10        10        1         
Vardas4448      Pavarde4448                       10        6         5         4         
Vardas4449      Pavarde4449                       10        10        4         5         
Vardas4450      Pavarde4450                       2         6         5         10        
Vardas4451      Pavarde4451                       6         2         9         7         
Vardas4452      Pavarde4452                       10        6         6         6         
Vardas4453      Pavarde4453                       4         2         1         5         
Vardas4454      Pavarde4454                       7         5         1         2         
Vardas4455      Pavarde4455                       8         10        5         5         
Vardas4456      Pavarde4456                       3         5         10        3         
Vardas4457      Pavarde4457                       5         2         3         10        
Vardas4458      Pavarde4458                       1         5         1         7         
Vardas4459      Pavarde4459                       5         5         7         5         
Vardas4460      Pavarde4460                       8         4         2         10        
Vardas4461      Pavarde4461                       7         8         9         4         
Vardas4462      Pavarde4462                       9         6         7         3         
Vardas4463      Pavarde4463                       4         1         6         2         
Vardas4464      Pavarde4464                       8         4         5         6         
Vardas4465      Pavarde4465                       4         4         8         6         
Vardas4466      Pavarde4466                       5         5         2         5         
Vardas4467      Pavarde4467                       9         4         2         9         
Vardas4468      Pavarde4468                       6         5         7         2         
Vardas4469      Pavarde4469                       6         7         8         2         
Vardas4470      Pavarde4470                       8         8         4         1         
Vardas4471      Pavarde4471                       9         8         3         10        
Vardas4472      Pavarde4472                       5         2         3         2         
Vardas4473      Pavarde4473                       1         1         9         2         
Vardas4474      Pavarde4474                       7         6         2         3         
Vardas4475      Pavarde4475                       1         6         8         2         
Vardas4476      Pavarde4476                       8         7         6         10        
Vardas4477      Pavarde4477                       5         8         4         9         
Vardas4478      Pavarde4478                       4         6         8         8         
Vardas4479      Pavarde4479                       4         3         7         8         
Vardas4480      Pavarde4480                       8         5         1         8         
Vardas4481      Pavarde4481                       6         9         2         9         
Vardas4482      Pavarde4482                       10        10        1         8         
Vardas4483      Pavarde4483                       9         9         4         5         
Vardas4484      Pavarde4484                       6         10        7         1         
Vardas4485      Pavarde4485                       7         5         2         8         
Vardas4486      Pavarde4486                       2         9         1         5         
Vardas4487      Pavarde4487                       4         5         10        2         
Vardas4488      Pavarde4488                       5         7         3         1         
Vardas4489      Pavarde4489                       8         9         2         4         
Vardas4490      Pavarde4490                       2         6         8         7         
Vardas4491      Pavarde4491                       6         8         2         4         
Vardas4492      Pavarde4492                       2         2         2         1         
Vardas4493      Pavarde4493                       1         5         1         7         
Vardas4494      Pavarde4494                       9         7         4         10        
Vardas4495      Pavarde4495                       4         2         10        7         
Vardas4496      Pavarde4496                       8         2         2         9         
Vardas4497      Pavarde4497                       2         1         2         6         
Vardas4498      Pavarde4498                       10        10        5         1         
Vardas4499      Pavarde4499                       1         9         2         6         
Vardas4500      Pavarde4500                       2         5         9         8         
Vardas4501      Pavarde4501                       5         1         4         1         
Vardas4502      Pavarde4502                       9         5         7         6         
Vardas4503      Pavarde4503                       6         10        1         8         
Vardas4504      Pavarde4504                       1         2         8         7         
Vardas4505      Pavarde4505                       7         6         8         2         
Vardas4506      Pavarde4506                       9         6         8         7         
Vardas4507      Pavarde4507                       4         8         1         9         
Vardas4508      Pavarde4508                       2         2         3         3         
Vardas4509      Pavarde4509                       6         3         7         2         
Vardas4510      Pavarde4510                       6         1         9         7         
Vardas4511      Pavarde4511                       1         3         2         6         
Vardas4512      Pavarde4512                       10        8         5         7         
Vardas4513      Pavarde4513                       10        8         2         5         
Vardas4514      Pavarde4514                       3         10        8         6         
Vardas4515      Pavarde4515                       4         3         3         6         
Vardas4516      Pavarde4516                       6         8         9         3         
Vardas4517      Pavarde4517                       5         1         6         4         
Vardas4518      Pavarde4518                       3         5         4         6         
Vardas4519      Pavarde4519                       3         7         4         6         
Vardas4520      Pavarde4520                       9         2         10        2         
Vardas4521      Pavarde4521                       3         6         10        2         
Vardas4522      Pavarde4522                       10        2         5         4         
Vardas4523      Pavarde4523                       10        8         9         5         
Vardas4524      Pavarde4524                       4         9         5         10        
Vardas4525      Pavarde4525                       6         4         1         8         
Vardas4526      Pavarde4526                       1         1         6         4         
Vardas4527      Pavarde4527                       4         10        1         9         
Vardas4528      Pavarde4528                       3         10        9         10        
Vardas4529      Pavarde4529                       2         10        1         7         
Vardas4530      Pavarde4530                       3         10        1         4         
Vardas4531      Pavarde4531                       10        1         9         7         
Vardas4532      Pavarde4532                       6         2         9         4         
Vardas4533      Pavarde4533                       6         5         4         5         
Vardas4534      Pavarde4534                       3         7         10        10        
Vardas4535      Pavarde4535                       4         10        5         6         
Vardas4536      Pavarde4536                       7         5         10        6         
Vardas4537      Pavarde4537                       6         3         8         1         
Vardas4538      Pavarde4538                       3         6         5         3         
Vardas4539      Pavarde4539                       9         6         1         9         
Vardas4540      Pavarde4540                       9         9         5         10        
Vardas4541      Pavarde4541                       4         10        10        7         
Vardas4542      Pavarde4542                       9         3         6         5         
Vardas4543      Pavarde4543                       4         10        6         7         
Vardas4544      Pavarde4544                       2         7         9         5         
Vardas4545      Pavarde4545                       6         5         10        9         
Vardas4546      Pavarde4546                       9         4         10        6         
Vardas4547      Pavarde4547                       8         10        8         6         
Vardas4548      Pavarde4548                       8         6         2         4         
Vardas4549      Pavarde4549                       2         2         9         10        
Vardas4550      Pavarde4550                       7         4         3         9         
Vardas4551      Pavarde4551                       4         10        1         9         
Vardas4552      Pavarde4552                       2         5         3         2         
Vardas4553      Pavarde4553                       5         5         6         8         
Vardas4554      Pavarde4554                       7         9         4         5         
Vardas4555      Pavarde4555                       1         9         8         3         
Vardas4556      Pavarde4556                       6         9         10        9         
Vardas4557      Pavarde4557                       7         1         7         5         
Vardas4558      Pavarde4558                       3         4         7         7         
Vardas4559      Pavarde4559                       2         6         9         3         
Vardas4560      Pavarde4560                       9         10        3         10        
Vardas4561      Pavarde4561                       7         9         10        3         
Vardas4562      Pavarde4562                       1         5         3         2         
Vardas4563      Pavarde4563                       2         7         3         9         
Vardas4564      Pavarde4564                       1         10        3         10        
Vardas4565      Pavarde4565                       3         5         4         6         
Vardas4566      Pavarde4566                       2         7         6         5         
Vardas4567      Pavarde4567                       3         2         9         10        
Vardas4568      Pavarde4568                       4         4         5         7         
Vardas4569      Pavarde4569                       6         9         8         9         
Vardas4570      Pavarde4570                       7         9         7         9         
Vardas4571      Pavarde4571                       2         10        6         4         
Vardas4572      Pavarde4572                       3         9         2         6         
Vardas4573      Pavarde4573                       5         2         7         2         
Vardas4574      Pavarde4574                       10        1         5         3         
Vardas4575      Pavarde4575                       8         6         8         3         
Vardas4576      Pavarde4576                       10        8         7         6         
Vardas4577      Pavarde4577                       2         3         6         9         
Vardas4578      Pavarde4578                       1         4         8         6         
Vardas4579      Pavarde4579                       2         6         4         5         
Vardas4580      Pavarde4580                       7         7         4         2         
Vardas4581      Pavarde4581                       4         8         8         6         
Vardas4582      Pavarde4582                       3         9         4         10        
Vardas4583      Pavarde4583                       7         4         7         3         
Vardas4584      Pavarde4584                       8         10        1         5         
Vardas4585      Pavarde4585                       7         7         2         5         
Vardas4586      Pavarde4586                       5         7         8         2         
Vardas4587      Pavarde4587                       5         5         4         10        
Vardas4588      Pavarde4588                       8         6         1         5         
Vardas4589      Pavarde4589                       8         3         1         5         
Vardas4590      Pavarde4590                       2         8         9         7         
Vardas4591      Pavarde4591                       1         2         5         5         
Vardas4592      Pavarde4592                       4         9         2         10        
Vardas4593      Pavarde4593                       3         1         3         6         
Vardas4594      Pavarde4594                       3         3         5         5         
Vardas4595      Pavarde4595                       10        5         3         3         
Vardas4596      Pavarde4596                       6         5         9         8         
Vardas4597      Pavarde4597                       2         5         3         8         
Vardas4598      Pavarde4598                       7         9         2         9         
Vardas4599      Pavarde4599                       3         5         9         3         
Vardas4600      Pavarde4600                       4         9         1         2         
Vardas4601      Pavarde4601                       9         9         6         6         
Vardas4602      Pavarde4602                       7         4         3         6         
Vardas4603      Pavarde4603                       5         3         8         1         
Vardas4604      Pavarde4604                       2         9         1         6         
Vardas4605      Pavarde4605                       4         8         7         4         
Vardas4606      Pavarde4606                       7         1         4         5         
Vardas4607      Pavarde4607                       9         10        4         8         
Vardas4608      Pavarde4608                       4         4         10        8         
Vardas4609      Pavarde4609                       8         8         8         10        
Vardas4610      Pavarde4610                       1         7         8         6         
Vardas4611      Pavarde4611                       4         1         10        7         
Vardas4612      Pavarde4612                       3         4         3         1         
Vardas4613      Pavarde4613                       3         3         9         8         
Vardas4614      Pavarde4614                       5         4         10        3         
Vardas4615      Pavarde4615                       9         3         6         10        
Vardas4616      Pavarde4616                       8         2         7         8         
Vardas4617      Pavarde4617                       7         6         1         4         
Vardas4618      Pavarde4618                       4         5         2         4         
Vardas4619      Pavarde4619                       4         2         2         6         
Vardas4620      Pavarde4620                       3         4         9         4         
Vardas4621      Pavarde4621                       2         8         5         6         
Vardas4622      Pavarde4622                       5         9         6         3         
Vardas4623      Pavarde4623                       6         7         1         4         
Vardas4624      Pavarde4624                       4         9         4         2         
Vardas4625      Pavarde4625                       2         9         7         10        
Vardas4626      Pavarde4626                       3         2         8         5         
Vardas4627      Pavarde4627                       10        9         5         9         
Vardas4628      Pavarde4628                       5         9         9         6         
Vardas4629      Pavarde4629                       8         5         10        3         
Vardas4630      Pavarde4630                       8         4         6         5         
